Date/Time,mean_water_velocity_ft/s,gage_height_ft,discharge_ft3/s
08/03/2015 21:45   CDT,0.87,5.54,781
08/03/2015 22:00   CDT,0.85,5.53,765
08/03/2015 22:15   CDT,0.84,5.54,751
08/03/2015 22:30   CDT,0.86,5.54,774
08/03/2015 22:45   CDT,0.83,5.54,743
08/03/2015 23:00   CDT,0.84,5.54,751
08/03/2015 23:15   CDT,0.84,5.54,759
08/03/2015 23:30   CDT,0.80,5.55,722
08/03/2015 23:45   CDT,0.78,5.56,700
08/04/2015 00:00   CDT,0.78,5.57,701
08/04/2015 00:15   CDT,0.76,5.58,686
08/04/2015 00:30   CDT,0.72,5.59,649
08/04/2015 00:45   CDT,0.71,5.61,643
08/04/2015 01:00   CDT,0.74,5.63,675
08/04/2015 01:15   CDT,0.68,5.64,615
08/04/2015 01:30   CDT,0.70,5.65,638
08/04/2015 01:45   CDT,0.71,5.66,646
08/04/2015 02:00   CDT,0.68,5.67,617
08/04/2015 02:15   CDT,0.67,5.68,610
08/04/2015 02:30   CDT,0.65,5.68,594
08/04/2015 02:45   CDT,0.67,5.69,610
08/04/2015 03:00   CDT,0.68,5.69,618
08/04/2015 03:15   CDT,0.69,5.69,633
08/04/2015 03:30   CDT,0.70,5.69,641
08/04/2015 03:45   CDT,0.74,5.69,679
08/04/2015 04:00   CDT,0.69,5.69,633
08/04/2015 04:15   CDT,0.71,5.68,648
08/04/2015 04:30   CDT,0.77,5.68,701
08/04/2015 04:45   CDT,0.70,5.68,640
08/04/2015 05:00   CDT,0.73,5.67,670
08/04/2015 05:15   CDT,0.77,5.67,700
08/04/2015 05:30   CDT,0.80,5.66,730
08/04/2015 05:45   CDT,0.76,5.66,692
08/04/2015 06:00   CDT,0.81,5.65,737
08/04/2015 06:15   CDT,0.80,5.65,729
08/04/2015 06:30   CDT,0.79,5.64,721
08/04/2015 06:45   CDT,0.81,5.63,735
08/04/2015 07:00   CDT,0.83,5.63,750
08/04/2015 07:15   CDT,0.86,5.62,780
08/04/2015 07:30   CDT,0.86,5.61,779
08/04/2015 07:45   CDT,0.82,5.61,741
08/04/2015 08:00   CDT,0.87,5.60,786
08/04/2015 08:15   CDT,0.83,5.60,748
08/04/2015 08:30   CDT,0.85,5.59,770
08/04/2015 08:45   CDT,0.87,5.58,784
08/04/2015 09:00   CDT,0.88,5.58,792
08/04/2015 09:15   CDT,0.84,5.57,761
08/04/2015 09:30   CDT,0.88,5.56,790
08/04/2015 09:45   CDT,0.86,5.56,775
08/04/2015 10:00   CDT,0.89,5.55,797
08/04/2015 10:15   CDT,0.93,5.54,834
08/04/2015 10:30   CDT,0.82,5.54,736
08/04/2015 10:45   CDT,0.90,5.53,810
08/04/2015 11:00   CDT,0.88,5.52,787
08/04/2015 11:15   CDT,0.89,5.51,801
08/04/2015 11:30   CDT,0.87,5.52,779
08/04/2015 11:45   CDT,0.87,5.51,779
08/04/2015 12:00   CDT,0.88,5.50,785
08/04/2015 12:15   CDT,0.92,5.50,823
08/04/2015 12:30   CDT,0.89,5.50,800
08/04/2015 12:45   CDT,0.89,5.50,800
08/04/2015 13:00   CDT,0.88,5.50,785
08/04/2015 13:15   CDT,0.84,5.50,748
08/04/2015 13:30   CDT,0.88,5.51,786
08/04/2015 13:45   CDT,0.86,5.51,771
08/04/2015 14:00   CDT,0.88,5.51,786
08/04/2015 14:15   CDT,0.80,5.52,719
08/04/2015 14:30   CDT,0.83,5.53,743
08/04/2015 14:45   CDT,0.83,5.52,742
08/04/2015 15:00   CDT,0.79,5.53,713
08/04/2015 15:15   CDT,0.79,5.53,713
08/04/2015 15:30   CDT,0.80,5.53,720
08/04/2015 15:45   CDT,0.77,5.53,690
08/04/2015 16:00   CDT,0.81,5.54,728
08/04/2015 16:15   CDT,0.82,5.53,735
08/04/2015 16:30   CDT,0.83,5.53,743
